tracker_name,dataset_name,stage,run_id,conf,iou,HOTA (%),MOTA (%),IDF1 (%),ID Switches,MostlyTracked,MostlyLost,FPS,Latency mean (ms),Latency 95 (ms),Peak VRAM (MB),track_high_thresh,track_buffer,match_thresh,Latency p95 (ms)
bytetrack,avenue,2,track_high_thresh0.5_track_buffer40_match_thresh0.8,0.01,0.5,55.69,78.35,69.25,6.0,56.0,7.0,83.9,11.92,,412.7,0.5,40.0,0.8,16.02
bytetrack,avenue,2,track_high_thresh0.5_track_buffer40_match_thresh0.9,0.01,0.5,53.32,78.42,64.23,6.0,56.0,7.0,92.4,10.82,,468.9,0.5,40.0,0.9,15.71
bytetrack,avenue,2,track_high_thresh0.5_track_buffer60_match_thresh0.7,0.01,0.5,55.47,78.1,68.12,14.0,56.0,7.0,84.7,11.81,,158.6,0.5,60.0,0.7,16.17
bytetrack,avenue,2,track_high_thresh0.5_track_buffer60_match_thresh0.8,0.01,0.5,54.02,78.33,66.34,8.0,56.0,7.0,91.9,10.89,,213.4,0.5,60.0,0.8,16.06
bytetrack,avenue,2,track_high_thresh0.5_track_buffer60_match_thresh0.9,0.01,0.5,53.19,78.38,64.07,8.0,56.0,7.0,82.0,12.2,,288.7,0.5,60.0,0.9,16.48
bytetrack,avenue,2,track_high_thresh0.6_track_buffer20_match_thresh0.7,0.01,0.5,59.06,78.35,74.09,7.0,53.0,7.0,95.2,10.5,,335.8,0.6,20.0,0.7,15.69
bytetrack,avenue,2,track_high_thresh0.6_track_buffer20_match_thresh0.8,0.01,0.5,59.24,78.33,73.81,6.0,54.0,7.0,83.8,11.93,,412.7,0.6,20.0,0.8,15.85
bytetrack,avenue,2,track_high_thresh0.6_track_buffer20_match_thresh0.9,0.01,0.5,57.64,78.44,70.84,6.0,54.0,7.0,96.0,10.42,,468.9,0.6,20.0,0.9,15.72
bytetrack,avenue,2,track_high_thresh0.6_track_buffer30_match_thresh0.7,0.01,0.5,57.82,78.45,71.57,7.0,53.0,7.0,90.1,11.1,,158.6,0.6,30.0,0.7,15.79
bytetrack,avenue,2,track_high_thresh0.6_track_buffer30_match_thresh0.8,0.01,0.5,56.51,78.51,69.92,6.0,54.0,7.0,94.2,10.62,,213.4,0.6,30.0,0.8,15.95
bytetrack,avenue,2,track_high_thresh0.6_track_buffer30_match_thresh0.9,0.01,0.5,54.58,78.6,65.79,5.0,54.0,7.0,88.6,11.29,,288.7,0.6,30.0,0.9,15.8
bytetrack,avenue,2,track_high_thresh0.6_track_buffer40_match_thresh0.7,0.01,0.5,57.12,78.59,70.9,8.0,53.0,7.0,88.1,11.35,,335.8,0.6,40.0,0.7,15.9
bytetrack,avenue,2,track_high_thresh0.6_track_buffer40_match_thresh0.8,0.01,0.5,55.38,78.65,68.42,7.0,54.0,7.0,89.6,11.16,,412.7,0.6,40.0,0.8,15.9
bytetrack,avenue,2,track_high_thresh0.6_track_buffer40_match_thresh0.9,0.01,0.5,53.41,78.74,64.29,6.0,54.0,7.0,85.8,11.66,,468.9,0.6,40.0,0.9,16.45
bytetrack,avenue,2,track_high_thresh0.6_track_buffer60_match_thresh0.7,0.01,0.5,56.68,78.45,70.37,12.0,54.0,7.0,93.3,10.72,,158.6,0.6,60.0,0.7,16.35
bytetrack,avenue,2,track_high_thresh0.6_track_buffer60_match_thresh0.8,0.01,0.5,55.24,78.6,68.27,9.0,54.0,7.0,83.6,11.96,,213.4,0.6,60.0,0.8,16.16
bytetrack,avenue,2,track_high_thresh0.6_track_buffer60_match_thresh0.9,0.01,0.5,53.28,78.7,64.14,8.0,54.0,7.0,95.8,10.44,,288.7,0.6,60.0,0.9,15.96
bytetrack,avenue,2,track_high_thresh0.7_track_buffer20_match_thresh0.7,0.01,0.5,59.1,78.06,74.69,7.0,52.0,10.0,84.9,11.78,,335.8,0.7,20.0,0.7,16.11
bytetrack,avenue,2,track_high_thresh0.7_track_buffer20_match_thresh0.8,0.01,0.5,59.15,78.16,74.11,6.0,53.0,9.0,88.3,11.32,,412.7,0.7,20.0,0.8,15.93
bytetrack,avenue,2,track_high_thresh0.7_track_buffer20_match_thresh0.9,0.01,0.5,57.17,78.3,70.3,7.0,53.0,8.0,89.8,11.13,,468.9,0.7,20.0,0.9,15.75
bytetrack,avenue,2,track_high_thresh0.7_track_buffer30_match_thresh0.7,0.01,0.5,57.86,78.12,72.17,7.0,52.0,10.0,86.1,11.61,,158.6,0.7,30.0,0.7,16.11
bytetrack,avenue,2,track_high_thresh0.7_track_buffer30_match_thresh0.8,0.01,0.5,57.52,78.23,70.98,6.0,53.0,9.0,93.0,10.76,,213.4,0.7,30.0,0.8,15.74
bytetrack,avenue,2,track_high_thresh0.7_track_buffer30_match_thresh0.9,0.01,0.5,54.6,78.35,66.7,7.0,53.0,8.0,84.4,11.85,,288.7,0.7,30.0,0.9,16.01
bytetrack,avenue,2,track_high_thresh0.7_track_buffer40_match_thresh0.7,0.01,0.5,56.98,78.35,71.19,10.0,53.0,9.0,92.0,10.87,,335.8,0.7,40.0,0.7,15.76
bytetrack,avenue,2,track_high_thresh0.7_track_buffer40_match_thresh0.8,0.01,0.5,56.49,78.53,69.69,7.0,54.0,8.0,87.3,11.45,,412.7,0.7,40.0,0.8,15.79
bytetrack,avenue,2,track_high_thresh0.7_track_buffer40_match_thresh0.9,0.01,0.5,52.58,78.62,63.13,6.0,54.0,8.0,88.9,11.25,,468.9,0.7,40.0,0.9,16.01
bytetrack,avenue,2,track_high_thresh0.7_track_buffer60_match_thresh0.7,0.01,0.5,56.81,78.31,71.02,12.0,53.0,9.0,87.2,11.47,,158.6,0.7,60.0,0.7,16.3
bytetrack,avenue,2,track_high_thresh0.7_track_buffer60_match_thresh0.8,0.01,0.5,56.21,78.51,69.25,9.0,54.0,8.0,92.1,10.85,,213.4,0.7,60.0,0.8,16.05
bytetrack,avenue,2,track_high_thresh0.7_track_buffer60_match_thresh0.9,0.01,0.5,50.8,78.62,59.48,7.0,54.0,8.0,90.1,11.1,,288.7,0.7,60.0,0.9,16.15
bytetrack,avenue,2,track_high_thresh0.8_track_buffer20_match_thresh0.7,0.01,0.5,57.79,76.02,73.47,9.0,48.0,13.0,85.5,11.69,,335.8,0.8,20.0,0.7,16.27
bytetrack,avenue,2,track_high_thresh0.8_track_buffer20_match_thresh0.8,0.01,0.5,57.84,76.15,72.86,8.0,49.0,13.0,90.7,11.03,,412.7,0.8,20.0,0.8,15.89
bytetrack,avenue,2,track_high_thresh0.8_track_buffer20_match_thresh0.9,0.01,0.5,56.19,76.22,69.84,8.0,49.0,13.0,85.9,11.65,,468.9,0.8,20.0,0.9,15.87
bytetrack,avenue,2,track_high_thresh0.8_track_buffer30_match_thresh0.7,0.01,0.5,57.61,76.04,73.17,9.0,48.0,13.0,91.1,10.97,,158.6,0.8,30.0,0.7,16.05
bytetrack,avenue,2,track_high_thresh0.8_track_buffer30_match_thresh0.8,0.01,0.5,56.32,76.15,71.32,9.0,49.0,13.0,89.4,11.19,,213.4,0.8,30.0,0.8,15.83
bytetrack,avenue,2,track_high_thresh0.8_track_buffer30_match_thresh0.9,0.01,0.5,53.44,76.25,67.02,9.0,49.0,13.0,86.7,11.53,,288.7,0.8,30.0,0.9,16.01
bytetrack,avenue,2,track_high_thresh0.8_track_buffer40_match_thresh0.7,0.01,0.5,55.76,76.19,69.71,9.0,48.0,13.0,89.7,11.15,,335.8,0.8,40.0,0.7,16.46
bytetrack,avenue,2,track_high_thresh0.8_track_buffer40_match_thresh0.8,0.01,0.5,54.76,76.3,68.51,9.0,49.0,13.0,82.7,12.09,,412.7,0.8,40.0,0.8,16.24
bytetrack,avenue,2,track_high_thresh0.8_track_buffer40_match_thresh0.9,0.01,0.5,51.16,76.41,62.14,7.0,49.0,13.0,91.8,10.89,,468.9,0.8,40.0,0.9,15.91
bytetrack,avenue,2,track_high_thresh0.8_track_buffer60_match_thresh0.7,0.01,0.5,55.71,76.19,69.52,12.0,48.0,13.0,87.1,11.48,,158.6,0.8,60.0,0.7,15.87
bytetrack,avenue,2,track_high_thresh0.8_track_buffer60_match_thresh0.8,0.01,0.5,54.64,76.3,68.09,12.0,50.0,13.0,87.5,11.43,,213.4,0.8,60.0,0.8,16.01
bytetrack,avenue,2,track_high_thresh0.8_track_buffer60_match_thresh0.9,0.01,0.5,49.93,76.44,58.38,9.0,50.0,13.0,92.3,10.84,,288.7,0.8,60.0,0.9,15.85
